ISO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
MEE,0.188327,0.187564,0.190331,0.188156,0.190836,0.190634,0.196583,0.213152,0.221461,0.214173,0.206104,0.21718,0.238349
NAE,0.17666,0.164657,0.178137,0.184404,0.17509,0.1641,0.143565,0.132824,0.111087,0.0870559,0.0610255,0.0537634,0.0370003
SAE,0.447399,0.490423,0.53935,0.574872,0.587607,0.610326,0.628929,0.650924,0.664374,0.671825,0.68125,0.687217,0.692345
SSE,0.0391553,0.0294934,0.0296782,0.0338772,0.0358579,0.0470697,0.0511245,0.0495944,0.0395868,0.0422884,0.044484,0.0414002,0.036447
UMW,0.461763,0.468596,0.489001,0.505682,0.510324,0.527807,0.53562,0.543542,0.534934,0.532577,0.523287,0.531116,0.53198
# Series: APPMEXCD,,,,,,,,,,,,,
"# Name: Air pollution: PM2.5 Excedance, total",,,,,,,,,,,,,
"# Definition: This is an average of the percentage of the population exposed to PM2.5 levels at 10 µg/m3, 15 µg/m3, 25 µg/m3, and 35 µg/m3",,,,,,,,,,,,,
"# Source: Environmental Performance Index, Yale Center for Environmental Law & Policy (YCELP) and the Center for International Earth Science Information Network (CIESIN) at Columbia University",,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,
